wall_time_s,element_id,active_total,active_fresh,active_stale,inactive_total,collision_count,fresh_ratio,quorum_held,cp_frozen,cycle_count
10.313,2,4,2,2,0,0,0.5,1,0,92
10.314,3,4,2,2,0,0,0.5,1,0,92
10.315,4,4,2,2,0,0,0.5,1,0,92
10.422,0,4,1,3,0,0,0.25,0,0,93
10.423,1,4,1,3,0,0,0.25,0,0,93
10.423,2,4,2,2,0,0,0.5,1,0,93
10.424,3,4,2,2,0,0,0.5,1,0,93
10.425,4,4,2,2,0,0,0.5,1,0,93
10.532,0,4,1,3,0,0,0.25,0,0,94
10.533,1,4,1,3,0,0,0.25,0,0,94
10.533,2,4,2,2,0,0,0.5,1,0,94
10.534,3,4,2,2,0,0,0.5,1,0,94
10.535,4,4,2,2,0,0,0.5,1,0,94
10.642,0,4,1,3,0,0,0.25,0,0,95
10.643,1,4,1,3,0,0,0.25,0,0,95
10.644,2,4,2,2,0,0,0.5,1,0,95
10.644,3,4,2,2,0,0,0.5,1,0,95
10.645,4,4,2,2,0,0,0.5,1,0,95
10.752,0,4,1,3,0,0,0.25,0,0,96
10.753,1,4,1,3,0,0,0.25,0,0,96
10.753,2,4,2,2,0,0,0.5,1,0,96
10.754,3,4,2,2,0,0,0.5,1,0,96
10.755,4,4,2,2,0,0,0.5,1,0,96
10.862,0,4,1,3,0,0,0.25,0,0,97
10.863,1,4,1,3,0,0,0.25,0,0,97
10.863,2,4,2,2,0,0,0.5,1,0,97
10.864,3,4,2,2,0,0,0.5,1,0,97
10.865,4,4,2,2,0,0,0.5,1,0,97
10.972,0,4,1,3,0,0,0.25,0,0,98
10.973,1,4,1,3,0,0,0.25,0,0,98
10.973,2,4,2,2,0,0,0.5,1,0,98
10.974,3,4,2,2,0,0,0.5,1,0,98
10.975,4,4,2,2,0,0,0.5,1,0,98
11.082,0,4,1,3,0,0,0.25,0,0,99
11.083,1,4,1,3,0,0,0.25,0,0,99
11.083,2,4,2,2,0,0,0.5,1,0,99
11.084,3,4,2,2,0,0,0.5,1,0,99
11.085,4,4,2,2,0,0,0.5,1,0,99
11.192,0,4,1,3,0,0,0.25,0,0,100
11.193,1,4,1,3,0,0,0.25,0,0,100
11.194,2,4,2,2,0,0,0.5,1,0,100
11.194,3,4,2,2,0,0,0.5,1,0,100
11.195,4,4,2,2,0,0,0.5,1,0,100
11.302,0,4,1,3,0,0,0.25,0,0,101
11.303,1,4,1,3,0,0,0.25,0,0,101
11.303,2,4,2,2,0,0,0.5,1,0,101
11.304,3,4,2,2,0,0,0.5,1,0,101
11.305,4,4,2,2,0,0,0.5,1,0,101
11.412,0,4,1,3,0,0,0.25,0,0,102
11.413,1,4,1,3,0,0,0.25,0,0,102
11.413,2,4,2,2,0,0,0.5,1,0,102
11.414,3,4,2,2,0,0,0.5,1,0,102
11.415,4,4,2,2,0,0,0.5,1,0,102
11.522,0,4,1,3,0,0,0.25,0,0,103
11.523,1,4,1,3,0,0,0.25,0,0,103
11.523,2,4,2,2,0,0,0.5,1,0,103
